Amostra;Freq;Set Power;SF;BW;Power;Consumption
22;868;22;12;0;22.05;0.139178
22;868;22;12;2;22.04;0.139644
22;915;14;7;0;14.33;0.092139
22;915;14;7;2;14.17;0.081649
22;915;14;12;0;14.3;0.092255
22;915;14;12;2;14.31;0.092502
22;915;22;7;0;22.49;0.142209
22;915;22;7;2;22.32;0.125555
22;915;22;12;0;22.46;0.142135
22;915;22;12;2;22.47;0.142639
22;923;14;7;0;14.24;0.092049
22;923;14;7;2;14.1;0.081597
22;923;14;12;0;14.21;0.092187
22;923;14;12;2;14.23;0.092442
22;923;22;7;0;22.49;0.141709
22;923;22;7;2;22.31;0.125093
22;923;22;12;0;22.47;0.141607
22;923;22;12;2;22.48;0.142058
23;433;14;7;0;14.6;0.088644
23;433;14;7;2;14.45;0.078523
23;433;14;12;0;14.62;0.088786
23;433;14;12;2;14.61;0.089016
23;433;22;7;0;21.77;0.141161
23;433;22;7;2;21.6;0.124655
23;433;22;12;0;21.76;0.141206
23;433;22;12;2;21.74;0.141456
23;470;14;7;0;14.77;0.093381
23;470;14;7;2;14.6;0.082704
23;470;14;12;0;14.77;0.093503
23;470;14;12;2;14.77;0.093784
23;470;22;7;0;21.53;0.144986
23;470;22;7;2;21.35;0.127928
23;470;22;12;0;21.52;0.144918
23;470;22;12;2;21.52;0.145295
23;868;14;7;0;14.66;0.092883
23;868;14;7;2;14.51;0.082252
23;868;14;12;0;14.66;0.092959
23;868;14;12;2;14.66;0.093297
23;868;22;7;0;22.08;0.139478
23;868;22;7;2;21.89;0.123116
23;868;22;12;0;22.05;0.139433
23;868;22;12;2;22.06;0.139889
23;915;14;7;0;14.34;0.092859
23;915;14;7;2;14.17;0.082296
23;915;14;12;0;14.35;0.09301
23;915;14;12;2;14.36;0.093285
23;915;22;7;0;22.48;0.142575
23;915;22;7;2;22.3;0.125832
23;915;22;12;0;22.45;0.142469
23;915;22;12;2;22.46;0.142994
23;923;14;7;0;14.27;0.09278
23;923;14;7;2;14.12;0.082212
23;923;14;12;0;14.27;0.092957
23;923;14;12;2;14.28;0.093198
23;923;22;7;0;22.49;0.14213
23;923;22;7;2;22.37;0.125445
23;923;22;12;0;22.46;0.141989
23;923;22;12;2;22.47;0.142507
24;433;14;7;0;14.54;0.087678
24;433;14;7;2;14.37;0.077701
24;433;14;12;0;14.52;0.087796
24;433;14;12;2;14.51;0.088074
24;433;22;7;0;21.71;0.139957
24;433;22;7;2;21.56;0.123516
24;433;22;12;0;21.69;0.139956
24;433;22;12;2;21.69;0.140277
24;470;14;7;0;14.72;0.09255
24;470;14;7;2;14.55;0.081973
24;470;14;12;0;14.69;0.092617
24;470;14;12;2;14.69;0.092954
24;470;22;7;0;21.48;0.14395
24;470;22;7;2;21.34;0.127063
24;470;22;12;0;21.46;0.143971
24;470;22;12;2;21.46;0.144315
24;868;14;7;0;14.64;0.092113
24;868;14;7;2;14.51;0.081626
24;868;14;12;0;14.62;0.092164
24;868;14;12;2;14.62;0.092511
24;868;22;7;0;21.98;0.138461
24;868;22;7;2;21.91;0.122236
24;868;22;12;0;21.99;0.138438
24;868;22;12;2;21.99;0.138831
24;915;14;7;0;14.36;0.092157
24;915;14;7;2;14.2;0.08165
24;915;14;12;0;14.33;0.092264
24;915;14;12;2;14.35;0.092527
24;915;22;7;0;22.4;0.14199
24;915;22;7;2;22.26;0.125259
24;915;22;12;0;22.39;0.141843
24;915;22;12;2;22.4;0.142407
24;923;14;7;0;14.28;0.092097
24;923;14;7;2;14.11;0.081617
24;923;14;12;0;14.25;0.092191
24;923;14;12;2;14.28;0.092523
24;923;22;7;0;22.41;0.141636
24;923;22;7;2;22.24;0.125034
24;923;22;12;0;22.41;0.141533
24;923;22;12;2;22.42;0.142054
25;433;14;7;0;14.51;0.087005
25;433;14;7;2;14.35;0.077139
25;433;14;12;0;14.51;0.087165
25;433;14;12;2;14.5;0.087465
25;433;22;7;0;21.62;0.138188
25;433;22;7;2;21.48;0.122045
25;433;22;12;0;21.61;0.138205
25;433;22;12;2;21.61;0.138623
25;470;14;7;0;14.68;0.091649
25;470;14;7;2;14.6;0.08123
25;470;14;12;0;14.68;0.091799
25;470;14;12;2;14.68;0.092101
25;470;22;7;0;21.36;0.141849
25;470;22;7;2;21.18;0.1253
25;470;22;12;0;21.36;0.141753
25;470;22;12;2;21.36;0.142271
25;868;14;7;0;14.52;0.091161
25;868;14;7;2;14.42;0.080815
25;868;14;12;0;14.51;0.091283
25;868;14;12;2;14.52;0.091596
25;868;22;7;0;22.01;0.137065
25;868;22;7;2;21.83;0.121016
25;868;22;12;0;22;0.137027
25;868;22;12;2;22.02;0.137492
25;915;14;7;0;14.23;0.091275
25;915;14;7;2;14.1;0.080927
25;915;14;12;0;14.22;0.09146
25;915;14;12;2;14.24;0.09174
25;915;22;7;0;22.35;0.139621
25;915;22;7;2;22.18;0.123306
25;915;22;12;0;22.35;0.139626
25;915;22;12;2;22.38;0.140046
25;923;14;7;0;14.16;0.091242
25;923;14;7;2;14.06;0.080889
25;923;14;12;0;14.15;0.091422
25;923;14;12;2;14.16;0.091703
25;923;22;7;0;22.37;0.139172
25;923;22;7;2;22.2;0.122895
25;923;22;12;0;22.36;0.139153
25;923;22;12;2;22.38;0.139667
26;433;14;7;0;14.59;0.087759
26;433;14;7;2;14.49;0.077791
26;433;14;12;0;14.58;0.087896
26;433;14;12;2;14.57;0.088129
26;433;22;7;0;21.73;0.140123
26;433;22;7;2;21.62;0.123614
26;433;22;12;0;21.74;0.140029
26;433;22;12;2;21.73;0.140305
26;470;14;7;0;14.75;0.092482
26;470;14;7;2;14.59;0.08194
26;470;14;12;0;14.74;0.092581
26;470;14;12;2;14.74;0.09285
26;470;22;7;0;21.49;0.144079
26;470;22;7;2;21.41;0.127117
26;470;22;12;0;21.48;0.143826
26;470;22;12;2;21.5;0.144212
